Код теста;Исследование ;Название в ЛИС;Состояние натощак;Исследуемый биоматериал;Номер контейнера;Важные ПРЕАНАЛИТИЧЕСКИЕ замечания ;Тип ПЕРВИЧНОГО контейнера;Тип контейнера для ХРАНЕНИЯ и ТРАНСПОРТИРОВКИ;Температура хранения и транспортировки;Правила взятия и пробоподготовки биоматериала
AN63PGN;Прогестерон ;Прогестерон ;12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN64TES;Тестостерон;Тестостерон (мужские особи);12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN65COR;Кортизол;Кортизол;12 ч;сыворотка крови;803;;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN57ДМП;Малая/Большая дексаметазоновая проба;Дексаметазоновая проба;;сыворотка крови;803#comma# 843#comma# 846;Три определения кортизола#comma# Проба №1 - базальный уровень#comma# Пробы №2#comma# №3 - уровень кортизола после введения препарата.;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнеры маркировать Ф.И.О. владельца и кличкой животного#comma# номером пробы(1#comma# 2#comma# 3)#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови каждой пробы необходимый для исследования - 1.5 мл 
AN117ОБС;Проба с АКТГ;Проба с АКТГ;;сыворотка крови;803#comma# 843;Два определения кортизола#comma# Проба №1 - базальный уровень#comma# Проба №2 - уровень кортизола после введения препарата.;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой.  2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma# номером пробы(1#comma# 2)#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови каждой пробы необходимый для исследования - 1.5 мл 
AN100ACT;АКТГ (адренокортикотропный гормон);АКТГ;12 ч;плазма крови (ЭДТА);804;Перед взятие крови пробирку с сиреневой крышкой охладить! По возможности избегать стресса! ;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – ОХЛАЖДЕННАЯ пробирка с сиреневой  крышкой / Калий ЭДТА 2. Осторожно перевернуть пробирку 4-6 раз. 3. Не позднее 15 минут после взятия центрифугировать  2000 g. 10 мин. 4. Сразу отобрать плазму в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 6. Заморозить в вертикальном положении при -17°С…-23°С. 7. Заполнить направительный бланк#comma# указав код клиента.
AN102PTH;Паратиреоидный гормон (ПТГ);Паратгормон;12 ч;сыворотка крови;810;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN172INS;Инсулин;Инсулин;12 ч;сыворотка крови;811;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN174S-C;Соматомедин С (инсулиноподобный фактор роста-1#comma# ИФР-1);Соматомедин - С ;12 ч;сыворотка крови;890;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN195AND;Андростендион;Андростендион;12 ч;сыворотка крови;890;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN205ALD;Альдостерон;Альдостерон;12 ч;сыворотка крови;890;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN222GAS;Гастрин;Гастрин;12 ч;сыворотка крови;814;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN1144AM;Антимюллеров гормон;Анти-Мюллеров гормон;12 ч;сыворотка крови;862;;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN225PRA;Рениновая активность (PRA);Рениновая активность (PRA);12 ч;плазма крови (ЭДТА);804;Перед взятие крови пробирку с сиреневой крышкой охладить! По возможности избегать стресса! ;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – ОХЛАЖДЕННАЯ пробирка с сиреневой  крышкой / Калий ЭДТА 2. Осторожно перевернуть пробирку 4-6 раз. 3. Не позднее 15 минут после взятия центрифугировать  2000 g. 10 мин. 4. Сразу отобрать плазму в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 6. Заморозить в вертикальном положении при -17°С…-23°С. 7. Заполнить направительный бланк#comma# указав код клиента.
AN408ЦИТ;Вагинальная цитология (определение фазы эстрального цикла);Вагинальная цитология (определение фазы эстрального цикла);;вагинальная цитология;840;Только для собак;Предметное стекло + Контейнер для транспортировки;Предметное стекло + Контейнер для транспортировки;хранение стекол до отправки   +20°С…+25°С#comma# транспортировка +2….+8°С;1.Одной рукой осторожно разводят в стороны половые губы вульвы суки#comma# другой рукой берут стерильный аппликатор с ватным тампоном. Аппликатор должен иметь длину от 13 до 18 см. 2. Допускается смочить ватный тампон водой. 3. Тампон вводят строго по дорсальной стенке влагалища (для избегания попадания в ямку клитора). 4. Затем его продвигают в кранио-дорсальном направлении в сторону позвоночника до тех пор#comma# пока он не пройдет седалищную дугу. 5. Тампон продвигают на глубину 13-15 см#comma# в зависимости от размеров суки#comma# проворачивают на 360 в обоих направлениях и извлекают. 6. Затем делают 2 продольных мазка на заранее подготовленном предметном стекле. 7. Высушить на воздухе в течение 15 минут. 8. Маркировать стекла и контейнер Ф.И.О. владельца#comma# кличкой животного. 9. Заполнить все графы направительного бланка с ОБЕИХ сторон!
AN63OPGN;Прогестерон#comma# определение овуляции;Прогестерон#comma# определение овуляции;12 ч;сыворотка крови;856;Только для собак;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN16ОБС;Прогестерон#comma# определение овуляции (AN63OPGN) + Вагинальная цитология (определение фазы эстрального  цикла (AN408ЦИТ));AN16ОБС;;вагинальная цитология;840;Только для собак;Предметное стекло + Контейнер для транспортировки;Предметное стекло + Контейнер для транспортировки;хранение стекол до отправки   +20°С…+25°С#comma# транспортировка +2….+8°С;1.Одной рукой осторожно разводят в стороны половые губы вульвы суки#comma# другой рукой берут стерильный аппликатор с ватным тампоном. Аппликатор должен иметь длину от 13 до 18 см. 2. Допускается смочить ватный тампон водой. 3. Тампон вводят строго по дорсальной стенке влагалища (для избегания попадания в ямку клитора). 4. Затем его продвигают в кранио-дорсальном направлении в сторону позвоночника до тех пор#comma# пока он не пройдет седалищную дугу. 5. Тампон продвигают на глубину 13-15 см#comma# в зависимости от размеров суки#comma# проворачивают на 360 в обоих направлениях и извлекают. 6. Затем делают 2 продолных мазка на заранее подготовленном предметном стекле. 7. Высушить на воздухе в течение 15 минут. 8. Маркировать стекла и контейнер Ф.И.О. владельца#comma# кличкой животного. 9. Заполнить все графы направительного бланка с ОБЕИХ сторон!
AN16ОБС;Прогестерон#comma# определение овуляции (AN63OPGN) + Вагинальная цитология (определение фазы эстрального  цикла (AN408ЦИТ));AN16ОБС;12 ч;сыворотка крови;856;Только для собак;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN195AND-1;Андростендион;Андростендион;12 ч;сыворотка крови;890;минимальный объем сыворотки крови для выполнения теста-0#comma#5 мл;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN62Е2-1;Эстрадиол;Эстрадиол;12 ч;сыворотка крови;871;минимальный объем сыворотки крови для выполнения теста-0#comma#5 мл;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN154OHP;17-ОН прогестерон ;17-ОН прогестерон ;12 ч;сыворотка крови;865;минимальный объем сыворотки крови для выполнения теста-0#comma#5 мл;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN104ОБС;Гормональный профиль для хорьков (Эстрадиол/ Андростендион/ 17-ОН прогестерон);AN104ОБС;12 ч;сыворотка крови;890;В лабораторию поступает 3 пробирки. Минимальный объем сыворотки в каждой пробирке 0.5мл;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN104ОБС;Гормональный профиль для хорьков (Эстрадиол/ Андростендион/ 17-ОН прогестерон);AN104ОБС;12 ч;сыворотка крови;871;В лабораторию поступает 3 пробирки. Минимальный объем сыворотки в каждой пробирке 0.5мл;Пробирка с красной крышкой;Пробирка с белой крышкой;-17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN104ОБС;Гормональный профиль для хорьков (Эстрадиол/ Андростендион/ 17-ОН прогестерон);AN104ОБС;12 ч;сыворотка крови;865;В лабораторию поступает 3 пробирки. Минимальный объем сыворотки в каждой пробирке 0.5мл;Пробирка с красной крышкой;Пробирка с белой крышкой;-17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN54T4;Т4 общий;Т4 общий;12 ч;сыворотка крови;891;минимальный объем сыворотки крови для выполнения теста-0#comma#5 мл;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN1144АМ;Антимюллеров гормон;Анти-Мюллеров гормон;12 ч;сыворотка крови;862;минимальный объем сыворотки крови для выполнения теста-0#comma#5 мл;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN88PHE;Фенобарбитал;Фенобарбитал (Бензонал);12 ч;сыворотка крови;889;Минимальный объем сыворотки – 0#comma#5 мл.;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN89PHNY;Фенитоин;Фенитоин;12 ч;сыворотка крови;803;Минимальный объем сыворотки – 0#comma#5 мл.;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN90VALP;Вальпроевая кислота;Вальпроевая кислота;12 ч;сыворотка крови;803;Минимальный объем сыворотки – 0#comma#5 мл.;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN91CARB;Карбамазепин;Карбамазепин;12 ч;сыворотка крови;807;Минимальный объем сыворотки – 0#comma#5 мл.;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN300DIG;Дигоксин (сыворотка);Дигоксин (сыворотка);12 ч;сыворотка крови;814;Минимальный объем плазмы для исследования – 1 мл.;Пробирка с красной крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. Взятие крови – пробирка с красной крышкой.  2. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  3. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  4. Сразу отобрать сыворотку в пустую чистую пробирку. 5. Контейнер маркировать Ф.И.О. владельца и кличкой животного. 5. Заморозить в вертикальном положении при -17°С…-23°С. 6. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN342DIGPU;Дигоксин (моча);Дигоксин (моча);;моча ;848;Минимальный объем мочи 5 мл;Контейнер для сбора мочи + Пробирка с белой крышкой;Пробирка с белой крышкой; -17°С…-23°С;1. В лабораторию поступают ДВЕ пробирки с белой крышкой. 2. Собрать мочу(около 50 мл) в контейнер для сбора со встроенным устройством для переноса мочи. 3. Снять защитную наклейку с крышки контейнера#comma# насадить пробирку вниз резиновой пробкой в углубление на крышке контейнера. 4. Наполнить пробирки мочой. После того как моча прекратит поступать в пробирку#comma# снять пробирку с пробойника. 5. Минимальный объем мочи#comma# необходимый для переноса из контейнера в пробирку при помощи вакуума#comma# - 20 мл. 6. При меньшем объеме#comma# для переноса 8 мл мочи использовать стерильный шприц. 7. Пробирки маркировать Ф.И.О. владельца и кличкой животного 8. Сразу заморозить при  -17°С...-23°С в вертикальном положении. 9. Заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем мочи необходимый для исследования - 5 мл 
AN1271LEV;Леветирацетам;Леветирацетам;12 ч;сыворотка крови;807;Минимальный объем сыворотки – 0#comma#5 мл;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN900LEV;Лекарственный мониторинг вещества не входящего в перечень препаратов;Лекарственный мониторинг вещества не входящего в перечень препаратов;12 ч;сыворотка крови;807;необходимо предварительное согласование и образец принимаемого препарата;Пробирка с красной крышкой;Пробирка с белой крышкой; +2°С…+8°С;1. Взятие крови – пробирка с красной крышкой. 2. Осторожно перевернуть пробирку 4-6 раз.   3. Пробирку оставить в вертикальном положении на 30 минут при комнатной температуре.  4. Центрифугировать  при 2000 g. 10 мин#comma# не позднее 60 минут после взятия.  5. Сразу отобрать сыворотку в пустую чистую пробирку с белой крышкой. 6. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента. ВНИМАНИЕ! Минимальный объем крови необходимый для исследования - 2.5 мл 
AN274CYC;Циклоспорин;Циклоспорин;12 ч;кровь с ЭДТА;806;;Пробирка с сиреневой крышкой / Калий ЭДТА;Пробирка с сиреневой крышкой / Калий ЭДТА; +2°С…+8°С;1. Взятие крови – пробирка с сиреневой  крышкой / Калий ЭДТА. 2. Заполнить пробирку кровью СТРОГО до отметки на этикетке. 3. Осторожно перевернуть пробирку 7-10 раз. 4. Контейнер маркировать Ф.И.О. владельца и кличкой животного#comma#  заполнить направительный бланк#comma# указав код клиента.
